piece_name,H1,H4,GS,CPI
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/266.mid,1.541,2.5164,0.7167,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/267.mid,1.9948,2.7856,0.7068,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/268.mid,2.2886,3.0167,0.7488,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/269.mid,1.8226,2.6424,0.7292,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/270.mid,2.2455,2.7438,0.7942,0.9259
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/271.mid,2.2491,3.0017,0.5569,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/272.mid,1.9966,2.9621,0.6208,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/273.mid,2.4608,3.4175,0.4583,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/274.mid,1.9897,2.6351,0.7206,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/275.mid,1.6154,2.6326,0.8125,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/276.mid,2.1372,2.617,0.7321,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/277.mid,2.1419,2.8158,0.7177,0.9737
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/278.mid,2.2211,2.7641,0.7398,0.9565
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/279.mid,2.0917,2.6575,0.6786,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/28.mid,2.1795,2.7225,0.7371,0.9412
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/280.mid,1.9328,2.8245,0.5975,0.9167
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/281.mid,1.868,2.7526,0.7049,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/282.mid,1.9304,2.703,0.5893,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/283.mid,2.2406,2.8837,0.5358,0.925
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/284.mid,2.3352,2.7232,0.7917,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/285.mid,2.334,2.9792,0.5597,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/286.mid,1.5992,2.6542,0.7651,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/287.mid,1.3431,2.5253,0.6875,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/288.mid,2.5289,3.0415,0.5405,0.9259
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/289.mid,1.9052,2.9862,0.5844,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/29.mid,2.113,2.8214,0.6985,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/290.mid,1.8376,2.5818,0.6639,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/291.mid,1.7467,2.5306,0.625,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/292.mid,1.73,2.9784,0.6962,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/293.mid,1.9593,2.7347,0.6889,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/294.mid,2.3685,2.9831,0.567,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/296.mid,1.5512,2.3562,0.679,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/297.mid,0.5,0.9183,0.8125,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/298.mid,1.9735,2.9387,0.6667,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/299.mid,1.9327,2.8458,0.5687,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/3.mid,1.8799,2.699,0.6103,0.9412
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/30.mid,3.1175,3.1175,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/300.mid,2.3284,2.9095,0.5595,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/301.mid,1.9794,2.6393,0.6875,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/302.mid,1.9334,2.91,0.6426,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/303.mid,2.2782,2.836,0.642,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/304.mid,2.3222,2.9913,0.6042,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/305.mid,1.87,2.5899,0.7068,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/306.mid,1.743,2.8183,0.6523,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/307.mid,2.5096,2.9109,0.5763,0.9091
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/308.mid,1.8371,2.4971,0.6952,0.9474
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/309.mid,1.8376,2.8835,0.6375,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/31.mid,2.2702,3.0747,0.4062,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/310.mid,1.9219,1.9219,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/312.mid,1.4488,1.4488,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/313.mid,2.2645,3.0508,0.619,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/314.mid,1.8499,3.0081,0.6572,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/315.mid,1.7422,2.6284,0.6415,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/316.mid,2.2494,2.7343,0.6319,0.8889
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/317.mid,2.2822,2.9222,0.6047,0.9231
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/318.mid,1.3557,2.2989,0.765,0.9714
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/319.mid,2.1369,2.8231,0.6847,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/32.mid,1.7127,2.8788,0.7188,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/320.mid,1.9908,2.7524,0.674,0.8667
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/321.mid,0.5,0.9183,0.875,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/322.mid,2.3082,2.7577,0.7385,0.9375
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/323.mid,1.9457,2.6682,0.6477,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/324.mid,2.5654,2.5654,,-0.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/325.mid,2.7026,2.8838,0.5521,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/327.mid,2.0185,2.8537,0.7604,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/328.mid,1.9995,2.6161,0.715,0.8889
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/33.mid,1.9237,2.6499,0.7358,0.931
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/330.mid,2.4055,2.9259,0.7143,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/331.mid,2.1674,2.7811,0.5908,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/332.mid,1.4506,1.8598,0.675,1.0
/home/feiyuehchen/personality/llama2music/generation/REMI_20000_model_4096/333.mid,2.456,3.1619,0.5549,1.0
